timestamps,X,Y,Z
1751533953.060,-0.299,1.316,0.314
1751533953.122,-0.202,1.293,0.404
1751533953.122,-0.322,1.279,0.404
1751533953.122,-0.404,1.279,0.381
1751533953.184,-0.374,1.338,0.374
1751533953.184,-0.344,1.391,0.396
1751533953.184,-0.314,1.383,0.374
1751533953.243,-0.307,1.331,0.359
1751533953.243,-0.299,1.293,0.351
1751533953.243,-0.344,1.368,0.426
1751533953.300,-0.277,1.264,0.374
1751533953.300,-0.299,1.316,0.389
1751533953.300,-0.194,1.346,0.381
1751533953.359,-0.239,1.279,0.374
1751533953.359,-0.336,1.323,0.381
1751533953.359,-0.299,1.323,0.344
1751533953.403,-0.314,1.331,0.329
1751533953.403,-0.262,1.331,0.336
1751533953.403,-0.202,1.346,0.329
1751533953.468,-0.254,1.256,0.336
1751533953.468,-0.217,1.293,0.322
1751533953.468,-0.292,1.301,0.434
1751533953.526,-0.292,1.338,0.396
1751533953.526,-0.284,1.436,0.359
1751533953.526,-0.247,1.398,0.381
1751533953.584,-0.269,1.308,0.366
1751533953.584,-0.224,1.308,0.351
1751533953.584,-0.269,1.316,0.322
1751533953.644,-0.299,1.331,0.351
1751533953.644,-0.254,1.391,0.411
1751533953.644,-0.322,1.413,0.419
1751533953.690,-0.284,1.346,0.344
1751533953.690,-0.277,1.279,0.329
1751533953.690,-0.344,1.316,0.329
1751533953.750,-0.269,1.346,0.396
1751533953.750,-0.262,1.293,0.329
1751533953.750,-0.269,1.316,0.381
1751533953.811,-0.262,1.361,0.329
1751533953.811,-0.292,1.346,0.329
1751533953.811,-0.247,1.331,0.404
1751533953.871,-0.209,1.338,0.411
1751533953.871,-0.232,1.346,0.322
1751533953.871,-0.292,1.353,0.329
1751533953.927,-0.299,1.308,0.351
1751533953.927,-0.366,1.338,0.404
1751533953.927,-0.292,1.391,0.366
1751533953.975,-0.247,1.421,0.419
1751533953.975,-0.269,1.406,0.449
1751533953.975,-0.202,1.398,0.351
1751533954.034,-0.329,1.293,0.344
1751533954.034,-0.299,1.323,0.434
1751533954.034,-0.262,1.301,0.411
1751533954.092,-0.277,1.346,0.359
1751533954.092,-0.224,1.293,0.359
1751533954.092,-0.322,1.323,0.366
1751533954.155,-0.269,1.346,0.396
1751533954.155,-0.307,1.346,0.419
1751533954.155,-0.254,1.301,0.359
1751533954.217,-0.269,1.286,0.344
1751533954.217,-0.299,1.368,0.307
1751533954.217,-0.262,1.353,0.299
1751533954.261,-0.262,1.323,0.381
1751533954.261,-0.224,1.338,0.426
1751533954.261,-0.209,1.249,0.404
1751533954.332,-0.299,1.353,0.456
1751533954.332,-0.247,1.338,0.404
1751533954.332,-0.299,1.413,0.359
1751533954.377,-0.299,1.368,0.396
1751533954.377,-0.269,1.279,0.411
1751533954.377,-0.299,1.301,0.359
1751533954.439,-0.262,1.368,0.366
1751533954.439,-0.284,1.376,0.381
1751533954.439,-0.329,1.316,0.411
1751533954.500,-0.239,1.368,0.374
1751533954.500,-0.247,1.323,0.336
1751533954.500,-0.277,1.346,0.359
1751533954.560,-0.292,1.279,0.359
1751533954.560,-0.262,1.323,0.329
1751533954.560,-0.194,1.293,0.389
1751533954.618,-0.262,1.338,0.359
1751533954.618,-0.277,1.286,0.366
1751533954.618,-0.232,1.301,0.351
1751533954.665,-0.277,1.413,0.389
1751533954.665,-0.307,1.368,0.351
1751533954.665,-0.314,1.241,0.351
1751533954.729,-0.284,1.346,0.359
1751533954.729,-0.284,1.398,0.336
1751533954.729,-0.254,1.376,0.329
1751533954.786,-0.262,1.428,0.396
1751533954.786,-0.269,1.308,0.329
1751533954.786,-0.307,1.323,0.389
1751533954.843,-0.217,1.316,0.374
