timestamps,X,Y,Z
1751533935.601,0.190,0.029,-1.001
1751533935.646,0.187,0.030,-1.001
1751533935.646,0.189,0.031,-1.005
1751533935.646,0.188,0.033,-0.997
1751533935.704,0.190,0.031,-0.999
1751533935.704,0.187,0.029,-1.001
1751533935.704,0.190,0.035,-1.001
1751533935.766,0.187,0.028,-1.003
1751533935.766,0.188,0.030,-1.005
1751533935.766,0.190,0.035,-0.998
1751533935.823,0.190,0.034,-0.999
1751533935.823,0.190,0.030,-0.998
1751533935.823,0.192,0.034,-0.999
1751533935.884,0.189,0.032,-1.001
1751533935.884,0.191,0.032,-1.003
1751533935.884,0.190,0.030,-0.999
1751533935.930,0.190,0.029,-1.002
1751533935.930,0.188,0.031,-1.002
1751533935.930,0.192,0.035,-0.999
1751533936.003,0.189,0.029,-1.003
1751533936.003,0.190,0.031,-1.000
1751533936.003,0.186,0.031,-1.001
1751533936.050,0.188,0.033,-0.998
1751533936.050,0.189,0.031,-1.003
1751533936.050,0.189,0.030,-0.997
1751533936.113,0.189,0.030,-1.000
1751533936.113,0.188,0.033,-1.002
1751533936.113,0.187,0.029,-0.998
1751533936.169,0.191,0.030,-1.001
1751533936.169,0.190,0.030,-1.003
1751533936.169,0.189,0.033,-0.999
1751533936.228,0.191,0.032,-1.001
1751533936.228,0.190,0.030,-1.005
1751533936.228,0.188,0.030,-0.999
1751533936.289,0.189,0.032,-0.998
1751533936.289,0.192,0.032,-1.001
1751533936.289,0.188,0.030,-0.998
1751533936.336,0.192,0.030,-0.999
1751533936.336,0.187,0.030,-1.002
1751533936.336,0.188,0.028,-0.998
1751533936.398,0.187,0.033,-0.999
1751533936.398,0.190,0.032,-0.999
1751533936.398,0.190,0.028,-1.001
1751533936.456,0.190,0.027,-1.003
1751533936.456,0.189,0.032,-1.004
1751533936.456,0.190,0.036,-1.000
1751533936.519,0.188,0.034,-1.002
1751533936.519,0.189,0.032,-1.000
1751533936.519,0.191,0.028,-0.997
1751533936.573,0.190,0.033,-1.003
1751533936.573,0.189,0.032,-1.002
1751533936.573,0.189,0.031,-1.002
1751533936.634,0.188,0.035,-0.998
1751533936.634,0.189,0.030,-1.000
1751533936.634,0.189,0.031,-0.999
1751533936.694,0.187,0.029,-0.998
1751533936.694,0.189,0.032,-1.003
1751533936.694,0.192,0.026,-0.998
1751533936.738,0.189,0.028,-0.998
1751533936.738,0.189,0.027,-1.007
1751533936.738,0.189,0.026,-0.996
1751533936.801,0.190,0.035,-1.003
1751533936.801,0.190,0.028,-1.002
1751533936.801,0.189,0.025,-1.000
1751533936.862,0.188,0.031,-1.003
1751533936.862,0.187,0.028,-1.000
1751533936.862,0.190,0.030,-1.003
1751533936.909,0.187,0.025,-1.000
1751533936.909,0.186,0.035,-1.001
1751533936.909,0.187,0.032,-1.004
1751533936.966,0.187,0.028,-1.002
1751533936.966,0.187,0.029,-1.001
1751533936.966,0.187,0.032,-1.002
1751533937.026,0.192,0.034,-1.004
1751533937.026,0.193,0.028,-1.000
1751533937.026,0.191,0.031,-0.997
1751533937.083,0.194,0.035,-0.999
1751533937.083,0.191,0.028,-1.000
1751533937.083,0.189,0.028,-1.004
1751533937.146,0.188,0.033,-1.004
1751533937.146,0.189,0.031,-0.999
1751533937.146,0.193,0.030,-0.996
1751533937.205,0.191,0.031,-1.000
1751533937.205,0.191,0.030,-1.000
1751533937.205,0.188,0.031,-0.999
1751533937.249,0.191,0.030,-1.004
1751533937.249,0.190,0.030,-1.000
1751533937.249,0.191,0.031,-1.000
1751533937.311,0.188,0.029,-1.002
1751533937.311,0.189,0.035,-1.001
1751533937.311,0.190,0.033,-1.004
1751533937.368,0.189,0.031,-1.004
1751533937.368,0.190,0.030,-1.002
1751533937.368,0.188,0.029,-1.000
1751533937.430,0.189,0.028,-1.005
1751533937.430,0.192,0.033,-0.996
1751533937.430,0.191,0.027,-0.999
1751533937.489,0.193,0.030,-1.001
1751533937.489,0.191,0.031,-1.004
1751533937.489,0.191,0.028,-1.001
1751533937.549,0.190,0.033,-1.003
1751533937.549,0.187,0.031,-0.998
1751533937.549,0.190,0.031,-1.002
1751533937.593,0.189,0.034,-1.000
